id_blacklist,name,blacklist
4889,allBlack,"{""blacklist"" : [{""id"" : 4889, ""name"" : ""allBlack"", ""vpn_id"" : ""4716""}], ""blacklist_content"" : [{""id"" : 320405505, ""blacklist_id"" : 4889, ""number"" : ""1*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320405506, ""blacklist_id"" : 4889, ""number"" : ""2*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320405507, ""blacklist_id"" : 4889, ""number"" : ""3*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320405508, ""blacklist_id"" : 4889, ""number"" : ""4*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320405509, ""blacklist_id"" : 4889, ""number"" : ""5*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320405510, ""blacklist_id"" : 4889, ""number"" : ""6*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320405511, ""blacklist_id"" : 4889, ""number"" : ""7*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320405512, ""blacklist_id"" : 4889, ""number"" : ""8*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320405513, ""blacklist_id"" : 4889, ""number"" : ""9*"", ""number_type"" : ""PUBLIC""}]}"
4892,allBlack,"{""blacklist"" : [{""id"" : 4892, ""name"" : ""allBlack"", ""vpn_id"" : ""4758""}], ""blacklist_content"" : [{""id"" : 320602113, ""blacklist_id"" : 4892, ""number"" : ""1*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320602114, ""blacklist_id"" : 4892, ""number"" : ""2*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320602115, ""blacklist_id"" : 4892, ""number"" : ""3*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320602116, ""blacklist_id"" : 4892, ""number"" : ""4*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320602117, ""blacklist_id"" : 4892, ""number"" : ""5*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320602118, ""blacklist_id"" : 4892, ""number"" : ""6*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320602119, ""blacklist_id"" : 4892, ""number"" : ""7*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320602120, ""blacklist_id"" : 4892, ""number"" : ""8*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320602121, ""blacklist_id"" : 4892, ""number"" : ""9*"", ""number_type"" : ""PUBLIC""}]}"
4896,allBlack,"{""blacklist"" : [{""id"" : 4896, ""name"" : ""allBlack"", ""vpn_id"" : ""4636""}], ""blacklist_content"" : [{""id"" : 320864257, ""blacklist_id"" : 4896, ""number"" : ""1*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320864258, ""blacklist_id"" : 4896, ""number"" : ""2*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320864259, ""blacklist_id"" : 4896, ""number"" : ""3*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320864260, ""blacklist_id"" : 4896, ""number"" : ""4*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320864261, ""blacklist_id"" : 4896, ""number"" : ""5*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320864262, ""blacklist_id"" : 4896, ""number"" : ""6*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320864263, ""blacklist_id"" : 4896, ""number"" : ""7*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320864264, ""blacklist_id"" : 4896, ""number"" : ""8*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320864265, ""blacklist_id"" : 4896, ""number"" : ""9*"", ""number_type"" : ""PUBLIC""}]}"
4897,allBlack,"{""blacklist"" : [{""id"" : 4897, ""name"" : ""allBlack"", ""vpn_id"" : ""4710""}], ""blacklist_content"" : [{""id"" : 320929793, ""blacklist_id"" : 4897, ""number"" : ""1*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320929794, ""blacklist_id"" : 4897, ""number"" : ""2*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320929795, ""blacklist_id"" : 4897, ""number"" : ""3*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320929796, ""blacklist_id"" : 4897, ""number"" : ""4*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320929797, ""blacklist_id"" : 4897, ""number"" : ""5*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320929798, ""blacklist_id"" : 4897, ""number"" : ""6*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320929799, ""blacklist_id"" : 4897, ""number"" : ""7*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320929800, ""blacklist_id"" : 4897, ""number"" : ""8*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320929801, ""blacklist_id"" : 4897, ""number"" : ""9*"", ""number_type"" : ""PUBLIC""}]}"
4898,allBlack,"{""blacklist"" : [{""id"" : 4898, ""name"" : ""allBlack"", ""vpn_id"" : ""4847""}], ""blacklist_content"" : [{""id"" : 320995329, ""blacklist_id"" : 4898, ""number"" : ""1*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320995330, ""blacklist_id"" : 4898, ""number"" : ""2*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320995331, ""blacklist_id"" : 4898, ""number"" : ""3*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320995332, ""blacklist_id"" : 4898, ""number"" : ""4*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320995333, ""blacklist_id"" : 4898, ""number"" : ""5*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320995334, ""blacklist_id"" : 4898, ""number"" : ""6*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320995335, ""blacklist_id"" : 4898, ""number"" : ""7*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320995336, ""blacklist_id"" : 4898, ""number"" : ""8*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320995337, ""blacklist_id"" : 4898, ""number"" : ""9*"", ""number_type"" : ""PUBLIC""}]}"
4899,allBlack,"{""blacklist"" : [{""id"" : 4899, ""name"" : ""allBlack"", ""vpn_id"" : ""3832""}], ""blacklist_content"" : [{""id"" : 321060865, ""blacklist_id"" : 4899, ""number"" : ""1*"", ""number_type"" : ""PUBLIC""}, {""id"" : 321060866, ""blacklist_id"" : 4899, ""number"" : ""2*"", ""number_type"" : ""PUBLIC""}, {""id"" : 321060867, ""blacklist_id"" : 4899, ""number"" : ""3*"", ""number_type"" : ""PUBLIC""}, {""id"" : 321060868, ""blacklist_id"" : 4899, ""number"" : ""4*"", ""number_type"" : ""PUBLIC""}, {""id"" : 321060869, ""blacklist_id"" : 4899, ""number"" : ""5*"", ""number_type"" : ""PUBLIC""}, {""id"" : 321060870, ""blacklist_id"" : 4899, ""number"" : ""6*"", ""number_type"" : ""PUBLIC""}, {""id"" : 321060871, ""blacklist_id"" : 4899, ""number"" : ""7*"", ""number_type"" : ""PUBLIC""}, {""id"" : 321060872, ""blacklist_id"" : 4899, ""number"" : ""8*"", ""number_type"" : ""PUBLIC""}, {""id"" : 321060873, ""blacklist_id"" : 4899, ""number"" : ""9*"", ""number_type"" : ""PUBLIC""}]}"
4910,allBlack,"{""blacklist"" : [{""id"" : 4910, ""name"" : ""allBlack"", ""vpn_id"" : ""4392""}], ""blacklist_content"" : [{""id"" : 321781761, ""blacklist_id"" : 4910, ""number"" : ""1*"", ""number_type"" : ""PUBLIC""}, {""id"" : 321781762, ""blacklist_id"" : 4910, ""number"" : ""2*"", ""number_type"" : ""PUBLIC""}, {""id"" : 321781763, ""blacklist_id"" : 4910, ""number"" : ""3*"", ""number_type"" : ""PUBLIC""}, {""id"" : 321781764, ""blacklist_id"" : 4910, ""number"" : ""4*"", ""number_type"" : ""PUBLIC""}, {""id"" : 321781765, ""blacklist_id"" : 4910, ""number"" : ""5*"", ""number_type"" : ""PUBLIC""}, {""id"" : 321781766, ""blacklist_id"" : 4910, ""number"" : ""6*"", ""number_type"" : ""PUBLIC""}, {""id"" : 321781767, ""blacklist_id"" : 4910, ""number"" : ""7*"", ""number_type"" : ""PUBLIC""}, {""id"" : 321781768, ""blacklist_id"" : 4910, ""number"" : ""8*"", ""number_type"" : ""PUBLIC""}, {""id"" : 321781769, ""blacklist_id"" : 4910, ""number"" : ""9*"", ""number_type"" : ""PUBLIC""}]}"
4914,allBlack,"{""blacklist"" : [{""id"" : 4914, ""name"" : ""allBlack"", ""vpn_id"" : ""4618""}], ""blacklist_content"" : [{""id"" : 322043905, ""blacklist_id"" : 4914, ""number"" : ""1*"", ""number_type"" : ""PUBLIC""}, {""id"" : 322043906, ""blacklist_id"" : 4914, ""number"" : ""2*"", ""number_type"" : ""PUBLIC""}, {""id"" : 322043907, ""blacklist_id"" : 4914, ""number"" : ""3*"", ""number_type"" : ""PUBLIC""}, {""id"" : 322043908, ""blacklist_id"" : 4914, ""number"" : ""4*"", ""number_type"" : ""PUBLIC""}, {""id"" : 322043909, ""blacklist_id"" : 4914, ""number"" : ""5*"", ""number_type"" : ""PUBLIC""}, {""id"" : 322043910, ""blacklist_id"" : 4914, ""number"" : ""6*"", ""number_type"" : ""PUBLIC""}, {""id"" : 322043911, ""blacklist_id"" : 4914, ""number"" : ""7*"", ""number_type"" : ""PUBLIC""}, {""id"" : 322043912, ""blacklist_id"" : 4914, ""number"" : ""8*"", ""number_type"" : ""PUBLIC""}, {""id"" : 322043913, ""blacklist_id"" : 4914, ""number"" : ""9*"", ""number_type"" : ""PUBLIC""}]}"
4924,allBlack,"{""blacklist"" : [{""id"" : 4924, ""name"" : ""allBlack"", ""vpn_id"" : ""4752""}], ""blacklist_content"" : [{""id"" : 322699265, ""blacklist_id"" : 4924, ""number"" : ""1*"", ""number_type"" : ""PUBLIC""}, {""id"" : 322699266, ""blacklist_id"" : 4924, ""number"" : ""2*"", ""number_type"" : ""PUBLIC""}, {""id"" : 322699267, ""blacklist_id"" : 4924, ""number"" : ""3*"", ""number_type"" : ""PUBLIC""}, {""id"" : 322699268, ""blacklist_id"" : 4924, ""number"" : ""4*"", ""number_type"" : ""PUBLIC""}, {""id"" : 322699269, ""blacklist_id"" : 4924, ""number"" : ""5*"", ""number_type"" : ""PUBLIC""}, {""id"" : 322699270, ""blacklist_id"" : 4924, ""number"" : ""6*"", ""number_type"" : ""PUBLIC""}, {""id"" : 322699271, ""blacklist_id"" : 4924, ""number"" : ""7*"", ""number_type"" : ""PUBLIC""}, {""id"" : 322699272, ""blacklist_id"" : 4924, ""number"" : ""8*"", ""number_type"" : ""PUBLIC""}, {""id"" : 322699273, ""blacklist_id"" : 4924, ""number"" : ""9*"", ""number_type"" : ""PUBLIC""}]}"
4926,allBlack,"{""blacklist"" : [{""id"" : 4926, ""name"" : ""allBlack"", ""vpn_id"" : ""4728""}], ""blacklist_content"" : [{""id"" : 322830337, ""blacklist_id"" : 4926, ""number"" : ""1*"", ""number_type"" : ""PUBLIC""}, {""id"" : 322830338, ""blacklist_id"" : 4926, ""number"" : ""2*"", ""number_type"" : ""PUBLIC""}, {""id"" : 322830339, ""blacklist_id"" : 4926, ""number"" : ""3*"", ""number_type"" : ""PUBLIC""}, {""id"" : 322830340, ""blacklist_id"" : 4926, ""number"" : ""4*"", ""number_type"" : ""PUBLIC""}, {""id"" : 322830341, ""blacklist_id"" : 4926, ""number"" : ""5*"", ""number_type"" : ""PUBLIC""}, {""id"" : 322830342, ""blacklist_id"" : 4926, ""number"" : ""6*"", ""number_type"" : ""PUBLIC""}, {""id"" : 322830343, ""blacklist_id"" : 4926, ""number"" : ""7*"", ""number_type"" : ""PUBLIC""}, {""id"" : 322830344, ""blacklist_id"" : 4926, ""number"" : ""8*"", ""number_type"" : ""PUBLIC""}, {""id"" : 322830345, ""blacklist_id"" : 4926, ""number"" : ""9*"", ""number_type"" : ""PUBLIC""}]}"
