id_site,rank,service_logic_leg,access_type,t1t7,rn,data
75,0,3,20,2250834,1,"{""id"" : -1, ""equipment_id"" : 53974, ""site_id"" : 75, ""rank"" : 0, ""load"" : 1, ""cdr_info"" : ""098993991"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : true, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : true, ""full_prefix"" : ""042250834"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
79,0,3,20,2250833,1,"{""id"" : -1, ""equipment_id"" : 53973, ""site_id"" : 79, ""rank"" : 0, ""load"" : 1, ""cdr_info"" : ""098993991"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : true, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : true, ""full_prefix"" : ""042250833"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
79,1,3,20,2250834,1,"{""id"" : -1, ""equipment_id"" : 53974, ""site_id"" : 79, ""rank"" : 1, ""load"" : 1, ""cdr_info"" : ""098993991"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : true, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : true, ""full_prefix"" : ""042250834"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
105,0,3,20,2315369,1,"{""id"" : -1, ""equipment_id"" : 83442, ""site_id"" : 105, ""rank"" : 0, ""load"" : 1, ""cdr_info"" : ""098993999"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""042315369"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
115,0,3,20,2250833,1,"{""id"" : -1, ""equipment_id"" : 53973, ""site_id"" : 115, ""rank"" : 0, ""load"" : 1, ""cdr_info"" : ""098993991"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : true, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : true, ""full_prefix"" : ""042250833"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
115,1,3,20,2250834,1,"{""id"" : -1, ""equipment_id"" : 53974, ""site_id"" : 115, ""rank"" : 1, ""load"" : 1, ""cdr_info"" : ""098993991"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : true, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : true, ""full_prefix"" : ""042250834"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
120,0,3,20,2315122,1,"{""id"" : -1, ""equipment_id"" : 73322, ""site_id"" : 120, ""rank"" : 0, ""load"" : 1, ""cdr_info"" : ""098993999"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""042315122"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
120,1,3,20,2315891,1,"{""id"" : -1, ""equipment_id"" : 35283, ""site_id"" : 120, ""rank"" : 1, ""load"" : 1, ""cdr_info"" : ""098993999"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : true, ""full_prefix"" : ""042315891"", ""calling_format"" : ""FORMATTED"", ""called_cli_policy"" : ""SIPDA""}"
120,2,3,20,2315894,1,"{""id"" : -1, ""equipment_id"" : 35385, ""site_id"" : 120, ""rank"" : 2, ""load"" : 1, ""cdr_info"" : ""098993999"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : true, ""full_prefix"" : ""042315894"", ""calling_format"" : ""FORMATTED"", ""called_cli_policy"" : ""SIPDA""}"
121,0,3,20,2315369,1,"{""id"" : -1, ""equipment_id"" : 83442, ""site_id"" : 121, ""rank"" : 0, ""load"" : 1, ""cdr_info"" : ""098993999"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""042315369"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
