id,vpn_code,data
419595,10000288,"{""id"" : 419595, ""name"" : ""CD02U7Z1C3"", ""global_call_limiter"" : 143, ""outgoing_call_limiter"" : 143, ""incoming_call_limiter"" : 143, ""vpn_id"" : ""10000288"", ""resource_type"" : ""SITE""}"
418066,3756,"{""id"" : 418066, ""name"" : ""CD00EZJQE6"", ""global_call_limiter"" : 40, ""outgoing_call_limiter"" : 40, ""incoming_call_limiter"" : 40, ""vpn_id"" : ""3756"", ""resource_type"" : ""SITE""}"
418069,10007191,"{""id"" : 418069, ""name"" : ""CD0LB27VA2"", ""global_call_limiter"" : 30, ""outgoing_call_limiter"" : 30, ""incoming_call_limiter"" : 30, ""vpn_id"" : ""10007191"", ""resource_type"" : ""SITE""}"
4892,3944,"{""id"" : 4892, ""name"" : ""CD00H2YV91"", ""global_call_limiter"" : 40, ""outgoing_call_limiter"" : 40, ""incoming_call_limiter"" : 40, ""vpn_id"" : ""3944"", ""resource_type"" : ""SITE""}"
4893,3393,"{""id"" : 4893, ""name"" : ""AASTRA-MATRA_SLC_1"", ""global_call_limiter"" : 50, ""outgoing_call_limiter"" : 50, ""incoming_call_limiter"" : 50, ""vpn_id"" : ""3393"", ""resource_type"" : ""SITE""}"
4894,3899,"{""id"" : 4894, ""name"" : ""MUTUELLE_SLC_1"", ""global_call_limiter"" : 11, ""outgoing_call_limiter"" : 11, ""incoming_call_limiter"" : 11, ""vpn_id"" : ""3899"", ""resource_type"" : ""SITE""}"
4896,3367,"{""id"" : 4896, ""name"" : ""Dijon_Cereales_SLC_1"", ""global_call_limiter"" : 40, ""outgoing_call_limiter"" : 40, ""incoming_call_limiter"" : 40, ""vpn_id"" : ""3367"", ""resource_type"" : ""SITE""}"
4897,3459,"{""id"" : 4897, ""name"" : ""Trans_Caillot_SLC_1"", ""global_call_limiter"" : 35, ""outgoing_call_limiter"" : 35, ""incoming_call_limiter"" : 35, ""vpn_id"" : ""3459"", ""resource_type"" : ""SITE""}"
4898,3436,"{""id"" : 4898, ""name"" : ""Austrian_MOFA_SLC_1"", ""global_call_limiter"" : 50, ""outgoing_call_limiter"" : 50, ""incoming_call_limiter"" : 50, ""vpn_id"" : ""3436"", ""resource_type"" : ""SITE""}"
4899,3765,"{""id"" : 4899, ""name"" : ""BODET_SA_SLC_1"", ""global_call_limiter"" : 15, ""outgoing_call_limiter"" : 15, ""incoming_call_limiter"" : 15, ""vpn_id"" : ""3765"", ""resource_type"" : ""SITE""}"
418184,10003111,"{""id"" : 418184, ""name"" : ""CD0LN7QFAC"", ""global_call_limiter"" : 40, ""outgoing_call_limiter"" : 40, ""incoming_call_limiter"" : 40, ""vpn_id"" : ""10003111"", ""resource_type"" : ""SITE""}"
422027,10005178,"{""id"" : 422027, ""name"" : ""CD0MDU6RE0"", ""global_call_limiter"" : 10, ""outgoing_call_limiter"" : 10, ""incoming_call_limiter"" : 10, ""vpn_id"" : ""10005178"", ""resource_type"" : ""SITE""}"
426843,3994,"{""id"" : 426843, ""name"" : ""Lisa scl"", ""global_call_limiter"" : 6, ""outgoing_call_limiter"" : null, ""incoming_call_limiter"" : null, ""vpn_id"" : ""3994"", ""resource_type"" : ""SAN""}"
426862,10002277,"{""id"" : 426862, ""name"" : ""CD05VC8EE0"", ""global_call_limiter"" : 2000, ""outgoing_call_limiter"" : 2000, ""incoming_call_limiter"" : 2000, ""vpn_id"" : ""10002277"", ""resource_type"" : ""SITE""}"
427060,10002231,"{""id"" : 427060, ""name"" : ""CD05U6SCDB"", ""global_call_limiter"" : 2000, ""outgoing_call_limiter"" : 2000, ""incoming_call_limiter"" : 2000, ""vpn_id"" : ""10002231"", ""resource_type"" : ""SITE""}"
48453,3616,"{""id"" : 48453, ""name"" : ""3616_SCL_11120"", ""global_call_limiter"" : 20, ""outgoing_call_limiter"" : null, ""incoming_call_limiter"" : null, ""vpn_id"" : ""3616"", ""resource_type"" : ""SAN""}"
5805,3782,"{""id"" : 5805, ""name"" : ""ALLIOS_SCL_6"", ""global_call_limiter"" : 6, ""outgoing_call_limiter"" : 6, ""incoming_call_limiter"" : 6, ""vpn_id"" : ""3782"", ""resource_type"" : ""SITE""}"
426858,10002278,"{""id"" : 426858, ""name"" : ""CD05VC5792"", ""global_call_limiter"" : 2000, ""outgoing_call_limiter"" : 2000, ""incoming_call_limiter"" : 2000, ""vpn_id"" : ""10002278"", ""resource_type"" : ""SITE""}"
426992,10008764,"{""id"" : 426992, ""name"" : ""CD0N2BCHB2"", ""global_call_limiter"" : 15, ""outgoing_call_limiter"" : 15, ""incoming_call_limiter"" : 15, ""vpn_id"" : ""10008764"", ""resource_type"" : ""SITE""}"
427202,10008137,"{""id"" : 427202, ""name"" : ""CD0LXAYB9C"", ""global_call_limiter"" : 110, ""outgoing_call_limiter"" : 110, ""incoming_call_limiter"" : 110, ""vpn_id"" : ""10008137"", ""resource_type"" : ""SITE""}"
424001,10004055,"{""id"" : 424001, ""name"" : ""CD09PL9W20"", ""global_call_limiter"" : 130, ""outgoing_call_limiter"" : 130, ""incoming_call_limiter"" : 130, ""vpn_id"" : ""10004055"", ""resource_type"" : ""SITE""}"
49922,3673,"{""id"" : 49922, ""name"" : ""SIP_APJ_HUB"", ""global_call_limiter"" : 2000, ""outgoing_call_limiter"" : 2000, ""incoming_call_limiter"" : 2000, ""vpn_id"" : ""3673"", ""resource_type"" : ""SITE""}"
7464,3152,"{""id"" : 7464, ""name"" : ""Belcorp_Colombia"", ""global_call_limiter"" : 4, ""outgoing_call_limiter"" : 4, ""incoming_call_limiter"" : 4, ""vpn_id"" : ""3152"", ""resource_type"" : ""SITE""}"
426426,10007283,"{""id"" : 426426, ""name"" : ""CD0MXZSVC5"", ""global_call_limiter"" : 3, ""outgoing_call_limiter"" : 3, ""incoming_call_limiter"" : 3, ""vpn_id"" : ""10007283"", ""resource_type"" : ""SITE""}"
426543,10008054,"{""id"" : 426543, ""name"" : ""CD0MCGBJ97"", ""global_call_limiter"" : 60, ""outgoing_call_limiter"" : 60, ""incoming_call_limiter"" : 60, ""vpn_id"" : ""10008054"", ""resource_type"" : ""SITE""}"
426310,4334,"{""id"" : 426310, ""name"" : ""TESTGAR"", ""global_call_limiter"" : 2, ""outgoing_call_limiter"" : null, ""incoming_call_limiter"" : null, ""vpn_id"" : ""4334"", ""resource_type"" : ""SAN""}"
426414,10005366,"{""id"" : 426414, ""name"" : ""CD0N23LG9B"", ""global_call_limiter"" : 10, ""outgoing_call_limiter"" : 10, ""incoming_call_limiter"" : 10, ""vpn_id"" : ""10005366"", ""resource_type"" : ""SITE""}"
426598,10002268,"{""id"" : 426598, ""name"" : ""CD05V88VE9"", ""global_call_limiter"" : 2000, ""outgoing_call_limiter"" : 2000, ""incoming_call_limiter"" : 2000, ""vpn_id"" : ""10002268"", ""resource_type"" : ""SITE""}"
6203,3683,"{""id"" : 6203, ""name"" : ""Stefanini_IP_PBUH109"", ""global_call_limiter"" : 50, ""outgoing_call_limiter"" : 50, ""incoming_call_limiter"" : 50, ""vpn_id"" : ""3683"", ""resource_type"" : ""SITE""}"
6204,3683,"{""id"" : 6204, ""name"" : ""Stefanini_IP_pbru224"", ""global_call_limiter"" : 45, ""outgoing_call_limiter"" : 45, ""incoming_call_limiter"" : 45, ""vpn_id"" : ""3683"", ""resource_type"" : ""SITE""}"
5698,3898,"{""id"" : 5698, ""name"" : ""ALEXANDER_B_SCL_1"", ""global_call_limiter"" : 71, ""outgoing_call_limiter"" : 71, ""incoming_call_limiter"" : 71, ""vpn_id"" : ""3898"", ""resource_type"" : ""SITE""}"
5712,4031,"{""id"" : 5712, ""name"" : ""AtlantiCA_SCL_1"", ""global_call_limiter"" : 0, ""outgoing_call_limiter"" : 0, ""incoming_call_limiter"" : 0, ""vpn_id"" : ""4031"", ""resource_type"" : ""SITE""}"
5766,3412,"{""id"" : 5766, ""name"" : ""JAURES_SCL_1"", ""global_call_limiter"" : 10, ""outgoing_call_limiter"" : 10, ""incoming_call_limiter"" : 10, ""vpn_id"" : ""3412"", ""resource_type"" : ""SITE""}"
5371,3782,"{""id"" : 5371, ""name"" : ""ALLIOS_SCL_1"", ""global_call_limiter"" : 15, ""outgoing_call_limiter"" : 15, ""incoming_call_limiter"" : 15, ""vpn_id"" : ""3782"", ""resource_type"" : ""SITE""}"
5372,3782,"{""id"" : 5372, ""name"" : ""ALLIOS_SCL_2"", ""global_call_limiter"" : 4, ""outgoing_call_limiter"" : 4, ""incoming_call_limiter"" : 4, ""vpn_id"" : ""3782"", ""resource_type"" : ""SITE""}"
