vpn_code,id_equip,data
10005633,68432,"{""id"" : 68432, ""name"" : ""2214232"", ""t1t7"" : ""2214232"", ""vpn_id"" : ""10005633"", ""id_default_site"" : 413050, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
10006473,67614,"{""id"" : 67614, ""name"" : ""2245860"", ""t1t7"" : ""2245860"", ""vpn_id"" : ""10006473"", ""id_default_site"" : 407590, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
5779,69103,"{""id"" : 69103, ""name"" : ""2325135"", ""t1t7"" : ""2325135"", ""vpn_id"" : ""5779"", ""id_default_site"" : 48622, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
10006924,70975,"{""id"" : 70975, ""name"" : ""2215046"", ""t1t7"" : ""2215046"", ""vpn_id"" : ""10006924"", ""id_default_site"" : 429545, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
10002094,48996,"{""id"" : 48996, ""name"" : ""OCTA_AWCP_Backup_v1"", ""t1t7"" : ""8160001"", ""vpn_id"" : ""10002094"", ""id_default_site"" : 27654, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""zzz_CLI_FRA_na_na_"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
3861,139122,"{""id"" : 139122, ""name"" : ""PAMM242_SIP"", ""t1t7"" : ""2385539"", ""vpn_id"" : ""3861"", ""id_default_site"" : 216794, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_JOR_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
10001152,66882,"{""id"" : 66882, ""name"" : ""2325061"", ""t1t7"" : ""2325061"", ""vpn_id"" : ""10001152"", ""id_default_site"" : 70174, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
10002046,134885,"{""id"" : 134885, ""name"" : ""2325495"", ""t1t7"" : ""2325495"", ""vpn_id"" : ""10002046"", ""id_default_site"" : 211857, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
10006391,66417,"{""id"" : 66417, ""name"" : ""2218329"", ""t1t7"" : ""2218329"", ""vpn_id"" : ""10006391"", ""id_default_site"" : 399665, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
10002135,142741,"{""id"" : 142741, ""name"" : ""2235706"", ""t1t7"" : ""2235706"", ""vpn_id"" : ""10002135"", ""id_default_site"" : 220974, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
10003295,137242,"{""id"" : 137242, ""name"" : ""2315368"", ""t1t7"" : ""2315368"", ""vpn_id"" : ""10003295"", ""id_default_site"" : 214576, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
3634,60845,"{""id"" : 60845, ""name"" : ""Malaysia-DR"", ""t1t7"" : ""2365212"", ""vpn_id"" : ""3634"", ""id_default_site"" : 19700, ""csp_customer_identifier"" : null, ""global_call_limiter"" : 22, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_MYS_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
10001038,60024,"{""id"" : 60024, ""name"" : ""2310814"", ""t1t7"" : ""2310814"", ""vpn_id"" : ""10001038"", ""id_default_site"" : 202773, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
10014001,61085,"{""id"" : 61085, ""name"" : ""2223362"", ""t1t7"" : ""2223362"", ""vpn_id"" : ""10014001"", ""id_default_site"" : 360272, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
10002830,53854,"{""id"" : 53854, ""name"" : ""2221885"", ""t1t7"" : ""2221885"", ""vpn_id"" : ""10002830"", ""id_default_site"" : 330654, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
3117,157821,"{""id"" : 157821, ""name"" : ""PLCC021_SIP_CUB"", ""t1t7"" : ""2385731"", ""vpn_id"" : ""3117"", ""id_default_site"" : -1, ""csp_customer_identifier"" : null, ""global_call_limiter"" : 30, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_ITA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
10004816,51696,"{""id"" : 51696, ""name"" : ""2246318"", ""t1t7"" : ""2246318"", ""vpn_id"" : ""10004816"", ""id_default_site"" : 320475, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
10009430,71090,"{""id"" : 71090, ""name"" : ""2350534"", ""t1t7"" : ""2350534"", ""vpn_id"" : ""10009430"", ""id_default_site"" : 430648, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
10004314,179782,"{""id"" : 179782, ""name"" : ""2350977"", ""t1t7"" : ""2350977"", ""vpn_id"" : ""10004314"", ""id_default_site"" : 270492, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
10016431,63610,"{""id"" : 63610, ""name"" : ""2246760"", ""t1t7"" : ""2246760"", ""vpn_id"" : ""10016431"", ""id_default_site"" : 376549, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
10000719,71142,"{""id"" : 71142, ""name"" : ""2345003"", ""t1t7"" : ""2345003"", ""vpn_id"" : ""10000719"", ""id_default_site"" : 73338, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
10005223,61950,"{""id"" : 61950, ""name"" : ""2211000"", ""t1t7"" : ""2211000"", ""vpn_id"" : ""10005223"", ""id_default_site"" : 366046, ""csp_customer_identifier"" : null, ""global_call_limiter"" : 5, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
7299,73423,"{""id"" : 73423, ""name"" : ""MSOPC_EMEA_8820052"", ""t1t7"" : ""8820052"", ""vpn_id"" : ""7299"", ""id_default_site"" : -1, ""csp_customer_identifier"" : null, ""global_call_limiter"" : 30, ""scl_id"" : null, ""number_pre_analysis_name"" : ""GENERIC_CLI_PROCESSING"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
3235,67291,"{""id"" : 67291, ""name"" : ""FRA_Val_De_Reuil_DR"", ""t1t7"" : ""2400209"", ""vpn_id"" : ""3235"", ""id_default_site"" : -1, ""csp_customer_identifier"" : null, ""global_call_limiter"" : 150, ""scl_id"" : null, ""number_pre_analysis_name"" : ""GENERIC_CLI_PROCESSING"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
10004816,53079,"{""id"" : 53079, ""name"" : ""2299060"", ""t1t7"" : ""2299060"", ""vpn_id"" : ""10004816"", ""id_default_site"" : 325416, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
5098,69118,"{""id"" : 69118, ""name"" : ""2223067"", ""t1t7"" : ""2223067"", ""vpn_id"" : ""5098"", ""id_default_site"" : 418270, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
4916,145184,"{""id"" : 145184, ""name"" : ""PATH1943"", ""t1t7"" : ""2385606"", ""vpn_id"" : ""4916"", ""id_default_site"" : -1, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_GRC_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
